listing_id,neighbourhood_cleansed,latitude,longitude,property_type,price
16814700,Ditmars Steinway,40.77227963,-73.90572628,House,360
15437290,Ditmars Steinway,40.77116067,-73.9057088,House,199
15568588,Ditmars Steinway,40.77435777,-73.90760018,Apartment,89
19721291,Ditmars Steinway,40.77570429,-73.92195444,Apartment,100
13601150,Ditmars Steinway,40.77445469,-73.90930366,Apartment,47
18975097,Ditmars Steinway,40.77654956,-73.91303532,House,50
9275453,Ditmars Steinway,40.7770698,-73.91397641,House,80
18974335,Ditmars Steinway,40.77595711,-73.90802324,Apartment,85
13991331,Ditmars Steinway,40.77507488,-73.91718398,Apartment,160
21079521,Ditmars Steinway,40.77667334,-73.92141017,House,129
10283574,Ditmars Steinway,40.77696647,-73.92237953,Apartment,100
19624896,Ditmars Steinway,40.76931782,-73.90923758,Apartment,55
20280692,Ditmars Steinway,40.7818173,-73.91247526,Apartment,160
4550494,Ditmars Steinway,40.77648369,-73.91594863,Apartment,235
5992686,Ditmars Steinway,40.7701078,-73.89925698,House,40
18820769,Ditmars Steinway,40.77781424,-73.92272888,Apartment,280
20408846,Ditmars Steinway,40.77093884,-73.91019446,Apartment,68
5466955,Ditmars Steinway,40.77410713,-73.90693309,Apartment,100
19915939,Ditmars Steinway,40.77522215,-73.91245759,House,55
19615439,Ditmars Steinway,40.78415782,-73.91583016,Apartment,76
7557546,Ditmars Steinway,40.77671613,-73.91956107,House,133
494208,Ditmars Steinway,40.77732008,-73.91199367,Apartment,42
19915204,Ditmars Steinway,40.77220642,-73.91359549,House,59
2836845,Ditmars Steinway,40.77296895,-73.91603792,Apartment,160
18433038,Ditmars Steinway,40.77420131,-73.90807673,Apartment,59
2745620,Ditmars Steinway,40.77138068,-73.90894688,House,55
5036261,Ditmars Steinway,40.77644881,-73.90566204,House,32
19912628,Ditmars Steinway,40.7778699,-73.90848281,Apartment,69
4685448,Ditmars Steinway,40.77442951,-73.9075611,Apartment,60
8194426,Ditmars Steinway,40.77530895,-73.9099329,Bed & Breakfast,450
16975094,Ditmars Steinway,40.77318717,-73.91687445,Apartment,100
17367926,Ditmars Steinway,40.77652908,-73.90889292,Condominium,110
16679726,Ditmars Steinway,40.77617933,-73.91130276,Apartment,129
11670639,Ditmars Steinway,40.77686681,-73.90385944,Apartment,30
17462442,Ditmars Steinway,40.77681914,-73.90375443,Loft,30
8681776,Ditmars Steinway,40.77441903,-73.91465141,House,75
